"Código validación","Data","Código parámetro","Parámetro","Valor","Unidades"
"1","2011-04-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","8.0","Días"
"1","2011-04-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","0.0","Días"
"1","2011-04-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","0.0","Días"
"1","2011-04-01 00:00:00.0","NDX_RECUENTO_1.5m","Número de días de xeada","0.0","Días"
"9","2011-04-01 00:00:00.0","PR_AVG_1.5m","Presión","-9999.0","hPa"
"9","2011-04-01 00:00:00.0","PRED_AVG_1.5m","Presión reducida","-9999.0","hPa"
"9","2011-04-01 00:00:00.0","VV_MAX_2m","Refacho máximo a 2m","-9999.0","km/h"
"1","2011-04-01 00:00:00.0","TA_AVGMIN_1.5m","Temperatura  media das mínimas a 1.5m","9.6","ºC"
"9","2011-04-01 00:00:00.0","TO_AVG_1.5m","Temperatura de orballo a 1.5m","-9999.0","ºC"
"9","2011-04-01 00:00:00.0","TS_AVG_-0.1m","Temperatura do solo a -0.1m","-9999.0","ºC"
"1","2011-04-01 00:00:00.0","TA_MAX_1.5m","Temperatura máxima a 1.5m","29.6","ºC"
"9","2011-04-01 00:00:00.0","TA_AVG_0.1m","Temperatura media a 0.1m","-9999.0","ºC"
"1","2011-04-01 00:00:00.0","TA_AVG_1.5m","Temperatura media a 1.5m","14.3","ºC"
"1","2011-04-01 00:00:00.0","TA_AVGMAX_1.5m","Temperatura media das máximas a 1.5m","19.9","ºC"
"1","2011-04-01 00:00:00.0","TA_MIN_1.5m","Temperatura mínima a 1.5m","4.6","ºC"
"9","2011-04-01 00:00:00.0","VV_AVG_2m","Velocidade do vento a 2m","-9999.0","km/h"
"1","2011-05-01 00:00:00.0","PP_SUM_1.5m","Chuvia","39.1","L/m2"
"1","2011-05-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","17.4","L/m2"
"9","2011-05-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","-9999.0","º"
"9","2011-05-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","-9999.0","º"
"9","2011-05-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","-9999.0","h"
"9","2011-05-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","-9999.0","h"
"9","2011-05-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","-9999.0","%"
"9","2011-05-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","-9999.0","%"
"9","2011-05-01 00:00:00.0","HR_AVG_1.5m","Humidade relativa media a 1.5m","-9999.0","%"
"1","2011-05-01 00:00:00.0","NDPP_RECUENTO_1.5m","Número de días de chuvia (>0L/m2)","19.0","Días"
"1","2011-05-01 00:00:00.0","NDPP10_RECUENTO_1.5m","Número de días de chuvia (>10L/m2)","1.0","Días"
"1","2011-05-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","6.0","Días"
"1","2011-05-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","0.0","Días"
"1","2011-05-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","0.0","Días"
"1","2011-05-01 00:00:00.0","NDX_RECUENTO_1.5m","Número de días de xeada","0.0","Días"
"9","2011-05-01 00:00:00.0","PR_AVG_1.5m","Presión","-9999.0","hPa"
"9","2011-05-01 00:00:00.0","PRED_AVG_1.5m","Presión reducida","-9999.0","hPa"
"9","2011-05-01 00:00:00.0","VV_MAX_2m","Refacho máximo a 2m","-9999.0","km/h"
"1","2011-05-01 00:00:00.0","TA_AVGMIN_1.5m","Temperatura  media das mínimas a 1.5m","10.1","ºC"
"9","2011-05-01 00:00:00.0","TO_AVG_1.5m","Temperatura de orballo a 1.5m","-9999.0","ºC"
"9","2011-05-01 00:00:00.0","TS_AVG_-0.1m","Temperatura do solo a -0.1m","-9999.0","ºC"
"1","2011-05-01 00:00:00.0","TA_MAX_1.5m","Temperatura máxima a 1.5m","27.4","ºC"
"9","2011-05-01 00:00:00.0","TA_AVG_0.1m","Temperatura media a 0.1m","-9999.0","ºC"
"1","2011-05-01 00:00:00.0","TA_AVG_1.5m","Temperatura media a 1.5m","14.5","ºC"
"1","2011-05-01 00:00:00.0","TA_AVGMAX_1.5m","Temperatura media das máximas a 1.5m","19.5","ºC"
"1","2011-05-01 00:00:00.0","TA_MIN_1.5m","Temperatura mínima a 1.5m","7.5","ºC"
"9","2011-05-01 00:00:00.0","VV_AVG_2m","Velocidade do vento a 2m","-9999.0","km/h"
"1","2011-06-01 00:00:00.0","PP_SUM_1.5m","Chuvia","20.0","L/m2"
"1","2011-06-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","5.7","L/m2"
"9","2011-06-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","-9999.0","º"
"9","2011-06-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","-9999.0","º"
"9","2011-06-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","-9999.0","h"
"9","2011-06-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","-9999.0","h"
"9","2011-06-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","-9999.0","%"
"9","2011-06-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","-9999.0","%"
"9","2011-06-01 00:00:00.0","HR_AVG_1.5m","Humidade relativa media a 1.5m","-9999.0","%"
"1","2011-06-01 00:00:00.0","NDPP_RECUENTO_1.5m","Número de días de chuvia (>0L/m2)","13.0","Días"
"1","2011-06-01 00:00:00.0","NDPP10_RECUENTO_1.5m","Número de días de chuvia (>10L/m2)","0.0","Días"
"1","2011-06-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","4.0","Días"
"1","2011-06-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","0.0","Días"
"1","2011-06-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","0.0","Días"
"1","2011-06-01 00:00:00.0","NDX_RECUENTO_1.5m","Número de días de xeada","0.0","Días"
"9","2011-06-01 00:00:00.0","PR_AVG_1.5m","Presión","-9999.0","hPa"
"9","2011-06-01 00:00:00.0","PRED_AVG_1.5m","Presión reducida","-9999.0","hPa"
"9","2011-06-01 00:00:00.0","VV_MAX_2m","Refacho máximo a 2m","-9999.0","km/h"
"1","2011-06-01 00:00:00.0","TA_AVGMIN_1.5m","Temperatura  media das mínimas a 1.5m","11.0","ºC"
"9","2011-06-01 00:00:00.0","TO_AVG_1.5m","Temperatura de orballo a 1.5m","-9999.0","ºC"
"9","2011-06-01 00:00:00.0","TS_AVG_-0.1m","Temperatura do solo a -0.1m","-9999.0","ºC"
"1","2011-06-01 00:00:00.0","TA_MAX_1.5m","Temperatura máxima a 1.5m","33.8","ºC"
"9","2011-06-01 00:00:00.0","TA_AVG_0.1m","Temperatura media a 0.1m","-9999.0","ºC"
"1","2011-06-01 00:00:00.0","TA_AVG_1.5m","Temperatura media a 1.5m","15.4","ºC"
"1","2011-06-01 00:00:00.0","TA_AVGMAX_1.5m","Temperatura media das máximas a 1.5m","20.1","ºC"
"1","2011-06-01 00:00:00.0","TA_MIN_1.5m","Temperatura mínima a 1.5m","7.6","ºC"
