"Código validación","Data","Código parámetro","Parámetro","Valor","Unidades"
"1","2020-02-01 00:00:00.0","TA_AVGMAX_1.5m","Temperatura media das máximas a 1.5m","14.2","ºC"
"1","2020-02-01 00:00:00.0","TA_MIN_1.5m","Temperatura mínima a 1.5m","1.5","ºC"
"1","2020-02-01 00:00:00.0","VV_AVG_2m","Velocidade do vento a 2m","11.0","km/h"
"1","2020-03-01 00:00:00.0","PP_SUM_1.5m","Chuvia","205.0","L/m2"
"1","2020-03-01 00:00:00.0","PP_MAX_1.5m","Chuvia diaria máxima","64.0","L/m2"
"1","2020-03-01 00:00:00.0","DV_CONDICION_2m","Dirección do refacho a 2m","41.0","º"
"1","2020-03-01 00:00:00.0","DVP_MODA_2m","Dirección do vento predominante a 2m","225.0","º"
"1","2020-03-01 00:00:00.0","HFRIO7_SUM_1.5m","Horas de frío ( <=7ºC)","163.4","h"
"1","2020-03-01 00:00:00.0","HF_SUM_1.5m","Horas humidade foliar mensuais","307.9","h"
"1","2020-03-01 00:00:00.0","HR_AVGMAX_1.5m","Humidade media das máximas a 1.5m","100.0","%"
"1","2020-03-01 00:00:00.0","HR_AVGMIN_1.5m","Humidade media das mínimas a 1.5m","73.0","%"
"1","2020-03-01 00:00:00.0","HR_AVG_1.5m","Humidade relativa media a 1.5m","91.0","%"
"1","2020-03-01 00:00:00.0","NDPP_RECUENTO_1.5m","Número de días de chuvia (>0L/m2)","13.0","Días"
"1","2020-03-01 00:00:00.0","NDPP10_RECUENTO_1.5m","Número de días de chuvia (>10L/m2)","6.0","Días"
"1","2020-03-01 00:00:00.0","NDPP1_RECUENTO_1.5m","Número de días de chuvia (>1L/m2)","13.0","Días"
"1","2020-03-01 00:00:00.0","NDPP30_RECUENTO_1.5m","Número de días de chuvia (>30L/m2)","2.0","Días"
"1","2020-03-01 00:00:00.0","NDPP60_RECUENTO_1.5m","Número de días de chuvia (>60L/m2)","1.0","Días"
"1","2020-03-01 00:00:00.0","NDX_RECUENTO_1.5m","Número de días de xeada","0.0","Días"
"1","2020-03-01 00:00:00.0","PR_AVG_1.5m","Presión","975.6","hPa"
"1","2020-03-01 00:00:00.0","PRED_AVG_1.5m","Presión reducida","1020.0","hPa"
